"origin_iso","origin_name","show(1 = yes; 0 = no)"
11,Burgviertel,1
12,Geschäftsviertel,1
13,Leonhard,1
14,Peter,1
21,St. Johann und Uni,1
22,Spalen,1
23,Steinen,1
24,Aeschen,1
25,Alban,1
26,Albantal,1
31,St. Johann,1
32,Spalen,1
33,Steinen,1
34,Markthalle,1
41,Züricherstrasse,1
42,Lehenmatte,1
51,Heumatt,1
52,Peter Merian,1
53,Luftmatt,1
54,Gellert,1
55,St. Jakob-Dreispitz,1
61,Margarethen,1
62,Thierstein,1
63,Delsbergerallee,1
71,Thiersteinerrain,1
72,Batterie-Nord,1
73,Batterie-Süd,1
81,Paulus,1
82,Bernerring,1
83,Holee,1
84,Schützenmatte,1
85,Weiherhof,1
91,Blauen,1
92,Gottfried Keller,1
101,Oekolampad,1
102,Wasgenring-Ost,1
103,Wasgenring-West,1
111,Pestalozzi,1
112,Kannenfeld,1
113,Landskron,1
114,Lysbüchel,1
115,Friedmatt,1
121,Theodor,1
122,Klingental,1
131,Clarahof,1
132,Claramatte,1
141,Rosengarten,1
142,Solitude,1
151,Eglisee,1
152,Kleinriehen-Nord,1
153,Kleinriehen-Süd,1
160,Rosental,1
161,Messe,1
162,Erlenmatt,1
171,Flora,1
172,Dreirosen,1
173,Haltingerstrasse,1
174,Bläsi,1
175,Am Riehenring,1
176,Efringerstrasse,1
180,Klybeck,1
190,Kleinhüningen,1
201,Riehen-Dorf,1
202,Stettenfeld,1
203,Bischoffhöhe,1
204,Moos,1
205,Wenken,1
206,Kornfeld,1
207,Niederholz,1
208,Pfaffenloh,1
301,Bettingen-Dorf,1
302,Chrischona,1
