"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,1,Altstadt Grossbasel,10,10,17,5,10,4,10,9,8,9,6,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,12,Altstadt Kleinbasel,4,12,4,14,7,10,14,15,8,5,13,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,3,Am Ring,42,32,40,46,46,40,67,42,41,39,43,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,8,Bachletten,20,23,29,38,31,30,35,42,34,32,34,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,30,Bettingen,3,6,2,3,5,2,10,6,0,8,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,4,Breite,24,30,46,37,25,37,35,47,41,42,31,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,7,Bruderholz,18,20,22,23,12,10,26,15,24,33,20,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,13,Clara,11,14,13,13,16,13,7,17,21,10,16,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,9,Gotthelf,15,15,22,17,12,20,25,23,25,19,20,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,6,Gundeldingen,93,95,89,92,92,87,136,101,80,91,89,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,15,Hirzbrunnen,10,10,9,24,30,17,22,18,21,14,29,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,10,Iselin,49,52,62,55,56,66,70,66,51,67,58,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AG,AG,19,Kleinhüningen,2,6,16,1,7,4,4,13,8,3,10,1,1
