"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,11,Burgviertel,11,Burgviertel,2,0,0,0,0,0,0,0,1,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,11,Burgviertel,12,Geschäftsviertel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,11,Burgviertel,13,Leonhard,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,11,Burgviertel,14,Peter,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,21,St. Johann und Uni,0,0,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,22,Spalen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,23,Steinen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,24,Aeschen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,25,Alban,0,0,1,0,1,0,0,0,3,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,11,Burgviertel,26,Albantal,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,11,Burgviertel,31,St. Johann,0,1,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,11,Burgviertel,32,Spalen,0,0,0,0,1,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,11,Burgviertel,33,Steinen,1,1,0,0,0,2,0,1,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,11,Burgviertel,34,Markthalle,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,1,6,4,2,0,5,4,3,3,11,Burgviertel,41,Züricherstrasse,1,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,1,6,4,2,0,5,4,3,3,11,Burgviertel,42,Lehenmatte,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,11,Burgviertel,51,Heumatt,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,11,Burgviertel,52,Peter Merian,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,11,Burgviertel,53,Luftmatt,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,11,Burgviertel,54,Gellert,1,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,11,Burgviertel,55,St. Jakob-Dreispitz,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,11,Burgviertel,61,Margarethen,0,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,11,Burgviertel,62,Thierstein,1,2,0,0,0,0,1,0,1,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,11,Burgviertel,63,Delsbergerallee,0,0,1,2,1,0,0,2,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,11,Burgviertel,71,Thiersteinerrain,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,11,Burgviertel,72,Batterie-Nord,1,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,11,Burgviertel,73,Batterie-Süd,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,11,Burgviertel,81,Paulus,0,0,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,11,Burgviertel,82,Bernerring,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,11,Burgviertel,83,Holee,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,11,Burgviertel,84,Schützenmatte,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,11,Burgviertel,85,Weiherhof,0,1,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,6,4,4,2,3,2,5,3,4,11,Burgviertel,91,Blauen,1,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,6,4,4,2,3,2,5,3,4,11,Burgviertel,92,Gottfried Keller,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,101,Oekolampad,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,102,Wasgenring-Ost,0,0,0,0,0,0,0,0,2,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,103,Wasgenring-West,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,111,Pestalozzi,0,0,0,0,0,0,0,0,0,1,1
